7zip 24.09-3
kemoticons 5.116.0-2
kfilemetadata5 5.116.0-2
kgamma 6.3.3-1
kglobalaccel5 5.116.0-1
kguiaddons5 5.116.0-1
kholidays5 1:5.116.0-1
khotkeys 5.27.10-1
ki18n5 5.116.0-1
kiconthemes5 5.116.0-1
kidletime5 5.116.0-1
kimageannotator-qt5 0.7.1-3
kinfocenter 6.3.3-1
kio-extras 24.12.3-1
kio-fuse 5.1.0-4
kio5 5.116.0-1
kirigami2 5.116.0-1
kitemmodels5 5.116.0-1
kitemviews5 5.116.0-1
kjobwidgets5 5.116.0-1
kjs 5.115.0-1
kmenuedit 6.3.3-1
knewstuff5 5.116.0-3
knotifications5 5.116.0-1
knotifyconfig5 5.116.0-1
konsole 24.12.3-1
kpackage5 5.116.0-1
kparts5 5.116.0-1
kpeople5 5.116.0-1
kpty5 5.116.0-1
kquickcharts5 5.115.0-1
krunner5 5.115.0-4
kscreen 6.3.3-1
kscreenlocker 6.3.3-1
kservice5 5.116.0-1
ksshaskpass 6.3.3-1
ksystemstats 6.3.3-1
ktexteditor5 5.116.0-1
ktextwidgets5 5.116.0-1
kubectl 1.32.3-1
kunitconversion5 5.116.0-1
kuserfeedback 6.12.0-1
kvantum 1.1.4-1
kwallet-pam 6.3.3-1
kwallet5 5.116.0-1
kwalletmanager 24.12.3-1
kwayland-integration 6.3.3-1
kwayland5 5.116.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.3.3.1-2
kwindowsystem5 5.116.0-1
kwrited 6.3.3-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
layer-shell-qt 6.3.3-3
lcms2 2.17-1
ldb 2:4.22.0-1
ldns 1.8.4-1
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libaio 0.3.113-3
libappindicator-gtk3 12.10.0.r298-4
libass 0.17.3-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.2.1-1
libb2 0.98.1-3
libblockdev 3.3.0-1
libbluray 1.3.4-2
libbsd 0.12.2-2
libbytesize 2.11-1
libcanberra 1:0.30+r2+gc0620e4-4
libcbor 0.11.0-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.11-2
libcurl-gnutls 8.12.1-1
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdca 0.0.7-2
libde265 1.0.15-3
libdispatch 5.10-1
libdmtx 0.7.8-1
libdrm 2.4.124-1
libdvbpsi 1:1.3.3-3
libebml 1.4.5-1
libedit 20250104_3.1-1
libepoxy 1.5.10-3
libevdev 1.13.4-1
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libftdi 1.5-7
libgdata 0.18.1-3
libgee 0.20.8-1
libgexiv2 0.14.3-2
libgit2 1:1.9.0-2
libglvnd 1.7.0-1
libgphoto2 2.5.31-3
libgudev 238-1
libgusb 0.4.9-1
libheif 1.19.7-2
libibus 1.5.31-2
libical 3.0.20-1
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libiec61883 1.2.0-8
libimobiledevice 1.3.0-15
libindicator-gtk3 12.10.1-10
libinih 58-1
libinput 1.28.0-1
libjcat 0.2.3-1
libjpeg-turbo 3.1.0-1
libkexiv2 24.12.3-1
libkscreen 6.3.3-1
libksysguard 6.3.3-1
libldac 2.0.2.3-2
liblqr 0.4.3-1
libmad 0.15.1b-10
libmanette 0.2.11-2
libmatroska 1.7.1-2
libmbim 1.30.0-1
libmd 1.1.0-2
libmfx 23.2.2-3
libmicrohttpd 1.0.1-1
libmng 2.0.3-4
libmodplug 0.8.9.0-6
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-10
libmtp 1.1.22-1
libnautilus-extension 48.0-1
libnotify 0.8.4-1
libnsgif 1.0.0-1
libnsl 2.0.1-1
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libpaper 2.2.6-1
libpciaccess 0.18.1-2
libpipeline 1.5.8-1
libplacebo 7.349.0-4
libplist 2.6.0-2
libpng 1.6.47-1
libproxy 0.5.9-1
libpulse 17.0+r43+g3e2bb8a1e-1
libqaccessibilityclient-qt5 0.6.0-1
libqalculate 5.5.2-1
libqmi 1.34.0-2
libqrtr-glib 1.2.2-3
libraqm 0.10.2-1
libraw 0.21.3-1
libraw1394 2.1.2-4
librsvg 2:2.60.0-1
libsamplerate 0.2.2-3
libsigc++ 2.12.1-1
libsm 1.2.6-1
libsmbios 2.4.3-8
libsndfile 1.2.2-3
libsoup 2.74.3-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libssh 0.11.1-1
libstemmer 2.2.0-2
libtar 1.2.20-7
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtommath 1.3.0-1
libtool 2.5.4+r1+gbaa1fe41-3
libtorrent-rasterbar 1:2.0.11-3
libunwind 1.8.1-3
libupnp 1.14.20-2
liburcu 0.15.1-1
libusb 1.0.28-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.0-1
libutempter 1.2.3-1
libuv 1.50.0-1
libva 2.22.0-1
libvdpau 1.5-3
libvisual 0.4.2-2
libvorbis 1.3.7-4
libvpx 1.15.0-1
libwacom 2.15.0-1
libwebp 1.5.0-1
libwnck3 43.2-1
libwpe 1.16.2-1
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
